Source,Target,Type,Label,timeset,Weight
1277753681979604992,2296138146,Directed,0,,1
1277753681979604992,21334653,Directed,1,,1
1277753676774412288,15900909,Directed,2,,1
1277753569681293320,1255556143709126657,Directed,3,,1
1277753565184954369,95904965,Directed,4,,1
1277753285554966530,1066144755493543936,Directed,5,,1
1277753285554966530,1214970651255201794,Directed,6,,1
1277753142940180485,94451423,Directed,7,,1
1277753092633694208,184762182,Directed,8,,1
1277752996290592768,20045580,Directed,9,,1
1277752955102539777,2880932962,Directed,10,,1
1277752955102539777,438404347,Directed,11,,1
1277752830636539904,0,Directed,12,,1
1277752814685560833,9317502,Directed,13,,1
1277752679205388291,1264228241528799237,Directed,14,,1
1277752679205388291,261340015,Directed,15,,1
1277752679205388291,309792911,Directed,16,,1
1277752679205388291,975127727501185025,Directed,17,,1
1277752679205388291,128372940,Directed,18,,1
1277752679205388291,2670726740,Directed,19,,1
1277752679205388291,131574396,Directed,20,,1
1277752569952186370,68712576,Directed,21,,1
1277752443061841920,183749610,Directed,22,,1
1277752435902222336,1046014544349466625,Directed,23,,1
1277752435902222336,1261270188152020992,Directed,24,,1
1277752435902222336,36411489,Directed,25,,1
1277752319069822976,123891446,Directed,26,,1
1277752319069822976,37717107,Directed,27,,1
1277752003637248000,116519514,Directed,28,,1
1277751975472496640,95904965,Directed,29,,1
1277751702565916677,54341363,Directed,30,,1
1277751182593753088,128372940,Directed,31,,1
1277751182593753088,523331076,Directed,32,,1
1277751182593753088,68712576,Directed,33,,1
1277751182593753088,727130698021261313,Directed,34,,1
1277751182593753088,15088915,Directed,35,,1
1277751025995337735,36413526,Directed,36,,1
1277751025995337735,64813857,Directed,37,,1
1277751025995337735,1262944997118181385,Directed,38,,1
1277751025995337735,1261322113597739008,Directed,39,,1
1277750905161555968,875310415194054656,Directed,40,,1
1277750873385504770,36413526,Directed,41,,1
1277750873385504770,1262944997118181385,Directed,42,,1
1277750873385504770,1261322113597739008,Directed,43,,1
1277750742812680198,3843462731,Directed,44,,1
1277750679600234496,1,Directed,45,,1
1277750679600234496,1267522144545771521,Directed,46,,1
1277750679600234496,809124436880322561,Directed,47,,1
1277750584792223745,154427217,Directed,48,,1
1277750578039455744,3646851077,Directed,49,,1
1277750578039455744,2670726740,Directed,50,,1
1277750574897905666,925086319256244229,Directed,51,,1
1277749959694131206,1628353538,Directed,52,,1
1277749959694131206,1523748277,Directed,53,,1
1277749947538997253,975127727501185025,Directed,54,,1
1277749947538997253,37717107,Directed,55,,1
1277749772472979459,226184262,Directed,56,,1
1277749772472979459,123891446,Directed,57,,1
1277749687584534528,1246201791026466818,Directed,58,,1
1277749555858149376,814241611911667712,Directed,59,,1
1277749555858149376,3011121555,Directed,60,,1
1277749555858149376,53232912,Directed,61,,1
1277749361309515784,4744832267,Directed,62,,1
1277749361309515784,8802752,Directed,63,,1
1277749330863108097,210057377,Directed,64,,1
1277749330863108097,2670726740,Directed,65,,1
1277749330863108097,354095556,Directed,66,,1
1277749253784457217,1208871373294182400,Directed,67,,1
1277749253784457217,809124436880322561,Directed,68,,1
1277749216903905285,1246201791026466818,Directed,69,,1
1277749210067210240,2,Directed,70,,1
1277749128886472704,145039377,Directed,71,,1
1277749128886472704,730156831608340482,Directed,72,,1
1277749068240994304,3984632307,Directed,73,,1
1277748779421220864,1540034828,Directed,74,,1
1277748661523537926,68712576,Directed,75,,1
1277748661523537926,975127727501185025,Directed,76,,1
1277748603520507905,3984632307,Directed,77,,1
1277748507043139584,2,Directed,78,,1
1277748151005388806,1027651824847872006,Directed,79,,1
1277748151005388806,1138847289978626049,Directed,80,,1
1277748151005388806,3,Directed,81,,1
1277747532311990272,33520195,Directed,82,,1
1277747286932623361,1329966737761120256,Directed,83,,1
1277746826985291776,1038818496879185921,Directed,84,,1
1277746826985291776,1248628200952827910,Directed,85,,1
1277746822660919300,3060235071,Directed,86,,1
1277746819045482504,712485187481952261,Directed,87,,1
1277746554053541888,1309177799958245380,Directed,88,,1
1277746480242188289,68712576,Directed,89,,1
1277746460218535938,70799317,Directed,90,,1
1277746383391514625,297582824,Directed,91,,1
1277746307545788416,1109163408736309249,Directed,92,,1
1277745979832315905,1121346774654959616,Directed,93,,1
1277745910232088580,1263476798047879168,Directed,94,,1
1277745910232088580,1254141493780066305,Directed,95,,1
1277745640559304709,984479654399610882,Directed,96,,1
1277745535387041793,4,Directed,97,,1
