Source,Target,Type,Label,timeset,Weight
1288987476258938880,1267925527605755905,Directed,0,,1
1288987422781575169,8802752,Directed,1,,1
1288987413600182273,24237705,Directed,2,,1
1288987407489081350,8802752,Directed,3,,1
1288987266476576768,43340387,Directed,4,,1
1288987209970913281,3111481431,Directed,5,,1
1288987163435073543,95740548,Directed,6,,1
1288986981066854409,1263942586529714177,Directed,7,,1
1288986852486242304,1267925527605755905,Directed,8,,1
1288986716188160001,54341363,Directed,9,,1
1288986711062650881,87843887,Directed,10,,1
1288986678183505920,93339429,Directed,11,,1
1288986591747346432,24237705,Directed,12,,1
1288986324943417347,841504753,Directed,13,,1
1288985710796722176,95740548,Directed,14,,1
1288985687027580928,24237705,Directed,15,,1
1288985657021534212,74756085,Directed,16,,1
1288985506244702210,1263942586529714177,Directed,17,,1
1288984696890818561,29913589,Directed,18,,1
1288983878649159683,33520195,Directed,19,,1
1288983624252035073,2880932962,Directed,20,,1
1288983460154146817,70799317,Directed,21,,1
1288983382958002176,1141110211689832450,Directed,22,,1
1288982970825674753,69452830,Directed,23,,1
1288982753699074048,74756085,Directed,24,,1
1288982198520098823,67150902,Directed,25,,1
1288982117335080960,67150902,Directed,26,,1
1288981918860677120,74756085,Directed,27,,1
1288981605944627201,14594698,Directed,28,,1
1288981082944217092,67150902,Directed,29,,1
1288981069719580672,70799317,Directed,30,,1
1288980691129118724,9317502,Directed,31,,1
1288980342314086406,3322502295,Directed,32,,1
1288980137892089858,1228776289890377729,Directed,33,,1
1288980099556155397,74756085,Directed,34,,1
1288979925958090764,74756085,Directed,35,,1
1288979815220105217,9317502,Directed,36,,1
1288979580783665153,8802752,Directed,37,,1
1288979572164382720,971906467363246083,Directed,38,,1
1288979529130815497,935312684119191553,Directed,39,,1
1288979138712408064,39366339,Directed,40,,1
1288978951864561665,14594698,Directed,41,,1
1288978848172908551,9317502,Directed,42,,1
1288978146742722562,45409867,Directed,43,,1
1288977828910903297,45870897,Directed,44,,1
1288977622190436353,261007129,Directed,45,,1
1288977302840279040,74756085,Directed,46,,1
1288977243209949186,8802752,Directed,47,,1
1288976867354128385,298308683,Directed,48,,1
1288976749842313217,3322502295,Directed,49,,1
1288976688102154244,759001618884939776,Directed,50,,1
1288976682846740480,9317502,Directed,51,,1
1288976571567661061,26573303,Directed,52,,1
1288976256898342915,25995948,Directed,53,,1
1288975274487484416,1007598683247005697,Directed,54,,1
1288975154899496962,45870897,Directed,55,,1
1288975121760346114,261007129,Directed,56,,1
1288975031658307586,4474207935,Directed,57,,1
1288974653302734849,1201864404855377922,Directed,58,,1
1288974310984605697,56457949,Directed,59,,1
1288973726931914752,1212207353564520448,Directed,60,,1
1288973720422416384,8802752,Directed,61,,1
1288973533129965570,3322502295,Directed,62,,1
1288972459832537088,1961252852,Directed,63,,1
1288971980956405760,9317502,Directed,64,,1
1288971396580880390,14594813,Directed,65,,1
1288971212878688258,14594698,Directed,66,,1
1288971152937955335,1050174967298629633,Directed,67,,1
1288971126044057613,862469756,Directed,68,,1
1288971110604824578,9317502,Directed,69,,1
1288971062118682624,74756085,Directed,70,,1
1288970524572491780,8802752,Directed,71,,1
1288970396956491787,14594698,Directed,72,,1
1288970317898092545,8802752,Directed,73,,1
1288970067460464642,74756085,Directed,74,,1
1288969863155929090,440405708,Directed,75,,1
1288969265199091712,9317502,Directed,76,,1
1288969139395203074,2726301380,Directed,77,,1
1288968562137333760,39366339,Directed,78,,1
1288968527513292802,9317502,Directed,79,,1
1288968262689136640,3318337402,Directed,80,,1
